,Name,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
434,Stornoway,GB,58.21,-6.39,55.24,93,100,16.11
435,Hay River,CA,60.82,-115.8,46.4,93,75,9.17
436,Panguna,PG,-6.32,155.48,77.0,82,9,1.97
437,Opuwo,NA,-18.06,13.84,63.52,31,0,5.01
438,Pisco,PE,-13.7,-76.22,64.65,77,32,9.17
439,Faya,SA,18.39,42.45,68.9,16,0,5.82
440,Sandwick,GB,60.0,-1.25,53.6,93,100,21.92
441,Aswān,EG,24.09,32.91,90.91,19,0,12.37
442,Tevaitoa,PF,-16.78,-151.5,79.3,79,5,21.7
443,Sitka,US,57.05,-135.33,53.6,76,90,8.05
444,Taoudenni,ML,22.68,-3.98,99.12,11,0,5.26
445,Makakilo City,US,21.35,-158.09,82.69,52,75,8.05
446,Port Macquarie,AU,-31.43,152.92,69.01,96,75,7.56
447,Bealanana,MG,-14.55,48.73,61.57,91,97,3.27
448,Port Hedland,AU,-20.32,118.57,60.8,51,0,5.82
449,Beringovskiy,RU,63.05,179.32,40.39,79,88,11.05
450,Ayapel,CO,8.31,-75.14,86.13,78,100,4.99
451,Seredka,RU,58.16,28.19,51.8,93,96,6.71
452,Mwinilunga,ZM,-11.74,24.43,66.42,30,51,3.29
453,Murchison,NZ,-41.8,172.33,54.25,65,96,2.86
454,Luoyang,CN,34.68,112.45,64.99,1,100,1.99
455,Saint-Augustin,CA,51.23,-58.65,53.64,48,0,12.88
456,Verkhnyaya Inta,RU,65.98,60.31,36.5,82,99,12.93
457,Gobabis,NA,-22.45,18.97,61.09,29,0,16.13
458,Vila Franca do Campo,PT,37.72,-25.43,69.8,83,20,14.99
459,Pedasí,PA,7.53,-80.03,80.4,81,100,6.13
460,Yanta,CN,36.24,115.67,66.81,60,74,3.74
461,Gayéri,BF,12.65,0.49,78.69,77,79,8.14
462,Ha Giang,VN,22.83,104.98,76.03,85,100,0.09
463,Bara,NG,10.37,10.73,71.76,89,39,4.65
464,Anadyr,RU,64.75,177.48,36.07,86,75,4.47
465,Leningradskiy,RU,69.38,178.42,40.03,72,99,19.66
466,Itoman,JP,26.12,127.67,78.73,83,20,12.75
467,Chekhov,RU,55.14,37.47,53.6,76,75,6.71
468,Sabang,ID,5.89,95.32,83.44,74,57,5.79
469,Gimbi,ET,9.17,35.83,56.61,100,75,2.51
470,Bangassou,CF,4.74,22.82,68.99,97,99,0.96
471,Kirakira,SB,-10.45,161.92,82.58,72,83,7.18
472,Nishihara,JP,26.18,127.76,78.6,94,40,4.7
473,Alice Springs,AU,-23.7,133.88,57.2,20,3,5.82
474,Golden,US,39.76,-105.22,81.55,16,75,4.7
475,‘Āhuimanu,US,21.44,-157.84,81.66,65,40,8.05
476,Ternate,ID,0.8,127.4,80.64,78,96,3.62
477,Santa Maria,BR,-29.68,-53.81,52.66,73,0,4.05
478,Aasiaat,GL,68.71,-52.87,28.72,97,100,5.44
479,Frankfort,ZA,-27.27,28.48,55.85,69,48,14.52
480,Vadsø,NO,70.07,29.75,42.8,100,75,5.82
481,Lagoa,PT,39.05,-27.98,68.7,78,2,15.73
482,Pacific Grove,US,36.62,-121.92,62.15,77,75,9.17
483,Pangoa,PE,-12.12,-73.0,75.45,85,82,2.84
484,Bulgan,MN,48.81,103.53,43.48,63,0,3.13
485,Namatanai,PG,-3.67,152.43,83.05,73,30,7.11
486,Lamont,US,35.26,-118.91,92.1,28,0,5.99
487,Shimoda,JP,34.67,138.95,68.0,75,59,3.0
488,Barra de Tecoanapa,MX,16.52,-98.75,85.46,69,57,10.54
489,Panama City,PA,8.99,-79.52,77.0,94,40,5.82
490,Swan Hill,AU,-35.34,143.55,54.32,66,0,18.1
491,Guelph,CA,43.55,-80.25,65.98,39,1,9.17
492,Prince Rupert,CA,54.32,-130.32,59.0,72,1,6.93
493,Teodoro Sampaio,BR,-22.53,-52.17,70.38,71,100,2.98
494,Ambon City,ID,-3.7,128.18,77.0,94,40,6.93
495,Waingapu,ID,-9.66,120.26,76.23,75,100,3.24
496,Pizarro,CO,4.95,-77.37,78.6,83,98,6.64
497,Arrondissement de Toul,FR,48.67,5.92,59.9,51,0,4.7
498,Valparaíso,CL,-33.04,-71.63,54.1,87,75,5.82
499,Xiongyue,CN,40.18,122.12,59.72,67,2,4.79
500,Le Vauclin,MQ,14.55,-60.84,82.65,74,100,9.17
501,Roura,GF,4.73,-52.33,82.4,74,54,9.17
502,Venezuela,VE,8.0,-66.0,88.48,67,100,1.9
503,Nipawin,CA,53.37,-104.0,68.0,49,20,13.87
504,Acarí,PE,-15.43,-74.62,70.03,51,3,6.85
505,Dubbo,AU,-32.25,148.62,59.0,100,75,6.93
506,Anshun,CN,26.25,105.93,63.57,95,100,7.99
507,Shelburne,CA,44.08,-80.2,65.25,37,20,8.05
508,Coburg,DE,50.27,10.97,57.0,74,0,2.37
509,Zhigansk,RU,66.77,123.37,38.84,84,0,3.42
510,Balkhash,KZ,46.84,74.98,54.43,49,1,11.56
511,Marsh Harbour,BS,26.54,-77.06,81.07,75,43,29.62
512,Aljezur,PT,37.32,-8.8,63.0,90,94,1.01
513,Saint-François,FR,46.42,3.91,62.78,82,20,5.82
514,Vanimo,PG,-2.67,141.3,80.11,79,39,4.9
515,Lufkin,US,31.34,-94.73,70.34,83,90,9.17
516,Ust-Nera,RU,64.57,143.2,43.83,60,0,1.83
517,Comodoro Rivadavia,AR,-45.87,-67.5,71.6,21,0,17.22
518,San Cristobal,VE,7.77,-72.22,93.2,36,20,10.29
519,Okhotsk,RU,59.38,143.3,50.16,71,28,5.57
520,Soto la Marina,MX,23.77,-98.22,90.0,46,79,4.0
521,Yucaipa,US,34.03,-117.04,88.23,16,5,6.93
522,Soe,ID,-9.86,124.28,66.0,94,97,3.0
523,Gisborne,NZ,-38.65,178.0,60.85,58,2,7.65
524,Savannah Bight,HN,16.45,-85.85,85.08,70,4,9.51
525,Lorengau,PG,-2.02,147.27,84.24,75,15,8.88
526,Ardmore,US,34.17,-97.14,79.14,47,75,5.82
527,Itororó,BR,-15.12,-40.07,72.18,79,48,6.26
528,Noumea,NC,-22.28,166.46,74.44,53,2,3.36
529,Pombas,CV,17.15,-25.02,82.4,74,40,2.24
530,Gushikawa,JP,26.35,127.87,77.97,83,75,3.36
531,Yichang,CN,30.71,111.28,63.59,87,100,1.92
532,Pringsewu,ID,-5.36,104.97,72.73,89,94,0.98
533,Wanning,CN,18.8,110.4,79.0,83,84,1.9
534,General Roca,AR,-39.03,-67.58,71.6,24,55,2.24
535,Ketchikan,US,55.34,-131.65,56.12,93,90,17.22
536,Khovd,MN,48.01,91.64,49.8,54,35,5.35
537,Vigrestad,NO,58.57,5.7,50.67,99,100,9.08
538,Nantucket,US,41.28,-70.1,57.61,41,1,20.8
539,Passo Fundo,BR,-28.26,-52.41,46.94,70,0,8.86
540,Pauini,BR,-7.71,-66.98,75.33,95,100,1.7
541,Monjas,GT,14.5,-89.87,82.33,43,20,4.7
542,Simao,CN,22.79,100.97,65.46,96,97,1.86
543,North Bend,US,43.41,-124.22,68.7,77,1,10.29
544,Nemuro,JP,43.32,145.57,61.48,79,52,12.82
545,Kodinsk,RU,58.69,99.18,36.82,89,0,4.97
